"animal","Age.category","Sex","PCA2"
"10D265",1,"1",0.99266
"11D232",0,"1",0.55717
"11D284",0,"1",-0.33166
"11D285",0,"1",-0.39989
"11D222",0,"1",0.49212
"10D117",1,"1",-2.02812
"10D479",0,"1",-0.07678
"11D231",0,"1",-0.11767
"11D275",0,"1",1.61044
"10D266",1,"2",-1.69524
"11D102",0,"2",0.27077
"11D104",0,"1",-1.36899
"11D173",0,"1",-1.11958
"11D298",0,"1",-1.32775
"11D201",0,"1",1.05289
"11D182",0,"1",1.69498
"11D094",0,"2",-0.19059
"11D293",0,"1",-1.36048
"11D333",0,"2",-0.0633
"AKIDO",1,"2",-0.71793
"10D504",1,"1",-0.66492
"11D312",0,"2",0.79751
"11D299",0,"1",-0.03018
"11D290",0,"1",0.72517
"11D270",0,"1",0.09599
"10D427",0,"2",0.76675
"11D320",0,"2",-1.35009
"10D214",1,"1",-0.46533
"10D236",1,"1",0.78902
"10D176",1,"1",0.48492
"10D433",0,"2",0.54151
"11D366",0,"1",-0.02948
"11D310",0,"2",1.42144
"11D139",0,"1",1.33378
"11D274",0,"2",0.43433
"11D297",0,"1",0.16618
"10D368",1,"2",-0.36447
"10D369",1,"2",-0.97309
"10D033",1,"1",-1.59411
"11D202",0,"1",2.40449
"08D191",2,"1",1.24573
"10D444",0,"2",-0.86234
"11D271",0,"1",-0.44256
"11D179",0,"1",0.02299
"10D219",1,"1",1.69254
"10D222",1,"1",0.2978
"10D224",1,"1",0.49918
"11D021",0,"1",1.77982
"11D258",0,"1",-0.40272
"11D234",0,"2",0.85302
"11D047",0,"1",0.15131
"11D001",0,"1",0.52344
"11D308",0,"2",0.788
"11D343",0,"1",-0.02926
"11D253",0,"1",0.04589
"10D481",0,"2",-0.70664
"11D077",0,"1",0.29567
"11D305",0,"1",0.03621
"GEORGE",1,"2",-0.13834
"11D261",0,"1",-1.01751
"11D090",0,"1",-0.39854
"11D092",0,"1",1.26873
"11D210",0,"1",-1.04662
"10D480",0,"1",0.72096
"11D363",0,"2",0.09
"11D015",0,"1",1.97934
"11D054",0,"1",0.86066
"11D313",0,"2",-2.02852
"10D408",0,"1",-2.02852
"10D296",1,"1",-0.45596
"11D085",0,"1",0.96668
"10D495",0,"1",0.3195
"11D103",0,"1",0.39208
"11D108",0,"1",-2.02852
"11D212",0,"2",0.52374
"10D375",1,"1",-0.07991
"11D203",0,"1",-0.23213
"11D245",0,"1",-0.13619
"10D488",0,"1",-0.20932
"11D099",0,"2",-0.80576
"11D100",0,"1",-2.02852
"11D101",0,"1",-1.07966
"11D326",0,"2",-1.31014
"11D329",0,"2",0.84468
"11D289",0,"2",-0.19707
"11D291",0,"1",0.47011
"11D292",0,"1",-1.25129
"11D351",0,"1",0.47443
"11D178",0,"1",0.11141
"11D152",0,"1",0.74555
"11D334",0,"2",0.7266
"11D255",0,"2",-0.23874
"11D043",0,"1",-1.04399
"11D045",0,"1",-1.2039
"JALLE",2,"2",-0.69075
"11D193",0,"2",0.85876
"11D194",0,"2",-1.19849
"11D236",0,"1",-0.35701
"11D322",0,"1",1.1542
"11D048",0,"1",-1.02765
"10D092",1,"1",-0.73885
"11D338",0,"2",1.29565
"11D344",0,"1",-1.24905
"11D119",0,"1",0.03194
"10D197",1,"1",1.62339
"11D345",0,"2",-1.20387
"11D346",0,"1",0.33358
"10D486",0,"2",0.26853
"11D219",0,"2",-1.65519
"11D070",0,"1",1.3288
"11D286",0,"2",-0.90805
"10D501",1,"1",-0.93692
"09D286",1,"1",1.98658
"10D417",0,"2",0.48733
"10D422",0,"1",0.41153
"11D208",0,"2",-1.50803
"11D209",0,"1",2.06126
"11D158",0,"2",0.01362
"11D017",0,"1",-0.25958
"10D277",1,"1",0.62369
"11D355",0,"2",-1.94145
"11D358",0,"2",0.15878
"11D003",0,"2",-0.96702
"10D416",0,"1",1.57718
"11D225",0,"2",0.93743
"11D233",0,"1",-0.4203
"11D272",0,"2",2.64059
"11D211",0,"2",0.99265
"11D213",0,"1",0.093
"10D448",0,"1",1.11298
"10D438",1,"2",-0.50059
"11D325",0,"1",0.46556
"11D146",0,"1",-1.1172
"11D020",0,"2",-0.43323
"10D429",0,"2",-0.43871
"10D289",1,"1",-0.40933
"11D317",0,"2",0.01312
"11D132",0,"2",-0.6499
"11D133",0,"2",0.12987
"10D483",0,"1",-0.111
"07D100",2,"1",0.49462
"11D025",0,"2",0.47934
"11D029",0,"2",-0.25258
"JAMES",1,"2",-0.79493
"11D187",0,"1",0.8736
"11D190",0,"1",1.22298
"11D224",0,"1",0.0465
"11D280",0,"1",-0.40584
"11D263",0,"1",-1.47968
"11D207",0,"2",-0.89257
"11D161",0,"2",-0.51894
"10D256",1,"1",-0.26651
"11D309",0,"2",0.65857
"11D311",0,"2",-0.22369
"11D080",0,"2",0.04364
"10D411",0,"2",-1.04333
"11D087",0,"2",0.82139
"11D229",0,"2",-1.02503
"10D204",1,"1",-0.33923
"11D122",0,"2",-0.92685
"10D326",1,"1",0.63845
"11D198",0,"2",1.08229
"11D247",0,"1",0.15827
"09D231",1,"1",0.11917
"11D294",0,"1",-0.10622
"10D447",0,"2",-0.98101
"08D315",2,"1",-1.07994
"10D437",0,"2",0.45477
"10D439",0,"2",-0.45825
"10D454",0,"1",0.16736
"11D034",0,"1",0.00943
"11D332",0,"2",1.06692
"11D306",0,"2",-1.34682
"10D342",1,"2",1.46586
"11D131",0,"2",-0.97095
"11D121",0,"1",1.61665
"10D482",0,"2",0.90969
"11D126",0,"2",0.01287
"11D186",0,"2",-0.0901
"11D218",0,"2",1.63438
"11D220",0,"2",-0.68435
"11D287",0,"2",-2.37165
"11D215",0,"2",-0.81249
"11D143",0,"1",1.33275
"11D277",0,"2",-1.36665
"11D264",0,"1",-0.80133
"10D307",1,"1",0.79582
"11D160",0,"2",-1.09397
"10D478",0,"2",-1.24974
"11D014",0,"2",0.96782
"11D359",0,"2",-0.53859
"11D361",0,"1",0.15169
"10D452",0,"2",0.33696
"11D181",0,"2",-0.61398
"11D246",0,"1",1.03247
"10D392",0,"1",-0.01116
"10D487",0,"2",1.07766
"11D097",0,"2",-0.76459
"11D098",0,"2",1.42469
"11D327",0,"1",0.84281
"11D148",0,"2",0.70832
"11D036",0,"1",1.32637
"11D039",0,"1",1.51886
"PINO",2,"2",-0.1477
"11D019",0,"2",0.95547
"11D331",0,"2",0.1705
"11D191",0,"2",0.46083
"11D323",0,"1",-0.33695
"11D110",0,"2",-0.61948
"11D046",0,"2",0.99893
"11D050",0,"1",-0.55674
"11D339",0,"2",-1.01763
"11D118",0,"1",-0.28246
"11D007",0,"2",-0.31008
"11D011",0,"1",1.11927
"11D075",0,"2",-0.9675
"11D076",0,"1",-0.69117
"11D130",0,"1",0.83048
"11D185",0,"2",-0.03139
"10D386",0,"1",1.23921
"11D303",0,"2",-0.32948
"10D283",1,"1",0.45861
"MUSSE",1,"2",-0.29422
"11D240",0,"2",-0.33208
"11D243",0,"1",0.74273
